POSTID,KEYFIELD,PRODUCT,GROUP,COV_CD,RES_BASE_C,COV_SEQ_NR,BEN_TERM,COV_ST_YR,COV_ST_MTH,ANN_BEF,ANN_1,ANN_2,ANN_INC_PC,ANN_INC_AM,ISS_YR_ANN,ISS_YR_MTH
107398320,107398320,TRAD,DIL,700,95,1,9999,2009,10,370.00,,,0.00,,2009,10
107398340,107398340,TRAD,DIL,700,95,1,9999,2010,5,1240.00,,,0.00,,2010,5
107398350,107398350,TRAD,DIL,700,95,1,9999,2010,6,510.00,,,0.00,,2010,6
107398370,107398370,TRAD,DIL,700,95,1,9999,2010,6,501.00,,,0.00,,2010,6
107399180,107399180,TRAD,DIL,700,95,1,9999,2010,7,11123.00,,,0.00,,2010,7
107399580,107399580,TRAD,DIL,700,95,1,9999,2010,9,5188.00,,,0.00,,2010,9
107399730,107399730,TRAD,DIL,700,95,1,9999,2010,3,385.00,,,0.00,,2010,3
107399870,107399870,TRAD,DIL,770,95,1,144,2010,8,3985.00,3985.00,2790.00,0.00,,2010,8
107400110,107400110,TRAD,DIL,700,95,1,9999,2010,6,11677.00,,,0.00,,2010,6
107400250,107400250,TRAD,DIL,700,95,1,9999,2010,4,810.00,810.00,567.00,0.00,,2010,4
107400290,107400290,TRAD,DIL,700,95,1,9999,2010,8,13206.00,9905.00,9905.00,0.00,,2010,8
107400970,107400970,TRAD,DIL,770,95,1,287,2010,5,497.00,,,0.00,,2010,5
107401070,107401070,TRAD,DIL,870,176,1,60,2010,8,18808.00,18808.00,,0.00,,2027,4
107401070,107401070,TRAD,DIL,970,161,2,260,2010,8,1.00,,13166.00,0.00,,2010,8
107401360,107401360,TRAD,DIL,700,95,1,9999,2010,6,1119.00,,,0.00,,2010,6
107402060,107402060,TRAD,DIL,700,95,1,9999,2010,9,557.00,557.00,390.00,0.00,,2010,9
107402220,107402220,TRAD,DIL,700,95,1,9999,2008,12,277.00,,,0.00,,2008,12
107402260,107402260,TRAD,DIL,770,95,1,202,2010,4,1813.00,,,0.00,,2010,4
107402800,107402800,TRAD,DIL,700,95,1,9999,2010,6,582.00,,,0.00,,2010,6
107403100,107403100,TRAD,DIL,700,95,1,9999,2010,8,5448.00,,,0.00,,2010,8
107403420,107403420,TRAD,DIL,770,95,1,180,2010,6,5478.00,5478.00,,0.00,,2010,6
107403420,107403420,TRAD,DIL,970,67,2,180,2010,6,1.00,,5478.00,0.00,,2010,6
107403550,107403550,TRAD,DIL,700,95,1,9999,2010,8,1385.00,,,0.00,,2010,8
107403590,107403590,TRAD,DIL,700,95,1,9999,2010,10,689.00,689.00,689.00,0.00,,2010,10
107403890,107403890,TRAD,DIL,700,95,1,9999,2010,7,1701.00,,,0.00,,2010,7
107403930,107403930,TRAD,DIL,770,92,1,144,2010,9,893.00,,,,,2010,9
107404040,107404040,TRAD,DIL,770,95,1,180,2010,9,3432.00,,,0.00,,2010,9
107404050,107404050,TRAD,DIL,770,92,1,171,2010,11,12718.00,,,,,2010,11
107404240,107404240,TRAD,DIL,700,95,1,9999,2010,1,25654.00,,,0.00,,2010,1
107404630,107404630,TRAD,DIL,770,95,1,144,2010,8,5496.00,5496.00,5496.00,0.00,,2010,8
107405100,107405100,TRAD,DIL,700,95,1,9999,2010,8,1045.00,,,0.00,,2010,8
107405270,107405270,TRAD,DIL,700,95,1,9999,2010,8,646.00,646.00,452.00,0.00,,2010,8
107405540,107405540,TRAD,DIL,700,95,1,9999,2010,10,1982.00,1982.00,1387.00,0.00,,2010,10
107405630,107405630,TRAD,DIL,700,95,1,9999,2010,9,2517.00,,,0.00,,2010,9
107406040,107406040,TRAD,DIL,700,92,1,9999,2010,10,1044.00,,,,,2010,10
107406470,107406470,TRAD,DIL,700,95,1,9999,2010,8,17820.00,,,0.00,,2010,8
107406940,107406940,TRAD,DIL,700,95,1,9999,2010,8,1055.00,,,0.00,,2010,8
107407880,107407880,TRAD,DIL,700,92,1,9999,2010,6,6701.00,,,,,2010,6
107408510,107408510,TRAD,DIL,707,95,1,9999,2010,8,5496.00,,,4.00,,2010,8
107408840,107408840,TRAD,DIL,700,95,1,9999,2010,9,1213.00,,,0.00,,2010,9
