fund_number,fund_name,price_date,price,guarantee,guarantee_type,fund_ind,hr_indicator,aegon_fund,M1,M2,M3
133,RobecoCAPSAMSustainableEuropeanEquities,01/01/2023,1.0,0,0,2,0,0,1.0441994272902249,1.0676007587613388,0.9639019903901398
134,AEGONVastgoedFundInternationaal,01/01/2023,1.0,0,0,2,0,1,1.0731759389822113,1.048343913292351,1.068269665172032
135,KONINKLIJKEPHILIPS,01/01/2023,1.0,0,0,2,0,0,1.1293881128832675,1.103331763346794,1.0158850851446115
136,Ageas,01/01/2023,1.0,0,0,2,0,0,1.0806384867686802,1.0318365081824787,1.0041830450561016
137,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
138,AEGONEquityFund,01/01/2023,1.0,0,0,2,0,1,1.0611006241122076,1.065317473192682,1.0240078492420481
139,AEGONRenteFund,01/01/2023,1.0,0,0,0,0,1,1.0177248972886022,0.9923133684573666,1.0477573892145657
140,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
141,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
142,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
143,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
144,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
145,AEGONDepositoFund,01/01/2023,1.0,0,0,0,0,1,1.0011682327284666,1.0024148551302554,1.014805598175066
146,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
147,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
148,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
149,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
150,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
151,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
152,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
153,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
154,RobecoHighYieldBondsB€,01/01/2023,1.0,0,0,0,0,0,1.0278636760790052,1.0118735367365446,1.0160137128777667
155,RobecoEmergingMarketsEquitiesD€,01/01/2023,1.0,0,0,2,0,0,1.0810957841507083,1.0619689598127722,1.0268198007475062
156,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
157,ComfortRenteFonds(=AEGONRenteFund),01/01/2023,1.0,0,0,0,0,1,1.0173494598998438,0.9916162068035985,1.0065961097284706
158,AEGONRenteFund,01/01/2023,1.0,0,0,0,0,1,1.0177237432801312,0.9931280771182222,1.1193221347263518
159,AEGONMixFund,01/01/2023,1.0,0,0,1,0,1,1.0328034925144491,1.0213772738755713,1.0092649963664073
160,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
161,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
162,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
