model,fund_number,fund_name,column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11
FP,33,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP,34,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP,35,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP,36,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP,37,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP,38,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP,39,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,1,Aandelen_Fund,0.0039,0.003,0.003,0.00203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,2,-,0.0,0.0,0.0,0.001412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,3,Mix_Fund,0.0051,0.0025,0.0025,0.001761375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,4,-,0.0,0.0,0.0,0.00203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,5,Deposito_Fund,0.0015,0.0,0.0,0.001412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,6,-,0.0,0.0,0.0,0.00203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,7,-,0.0,0.0,0.0,0.00203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,8,-,0.0,0.0,0.0,0.001412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,9,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,10,Vastrentend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,11,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,12,-,0.0,0.0,0.0,0.00203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,13,-,0.0,0.0,0.0,0.00203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,14,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,15,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,16,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,17,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,18,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,19,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,20,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,21,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,22,-,0.0,0.0,0.0,0.001797001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,23,-,0.0,0.0,0.0,0.001643604,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,24,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,25,-,0.0,0.0,0.0,5.6E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,26,-,0.0,0.0,0.0,5.6E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,27,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,28,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,29,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,30,AOW_afbouw_5,0.0047,0.0025,0.0015,8.0E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,31,AOW_afbouw_4,0.0044,0.0025,0.001,7.0E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,32,AOW_afbouw_3,0.004,0.0025,0.001,7.0E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,33,AOW_afbouw_2,0.0039,0.0025,0.001,7.0E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,34,AOW_afbouw_1,0.0038,0.0025,0.001,7.0E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,35,Axent_VRW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,36,World_equity_fund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,37,Europees_Rente_fund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,38,Aandelen_Fund_AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP,39,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,1,Aandelen_Fund,0.0,0.0,0.0,0.0039,0.0,0.0,0.00203,0.0,0.0,0.0,0.0
MM,2,Rente_Fund,0.0,0.0,0.0,0.0039,0.0,0.0,0.001412,0.0,0.0,0.0,0.0
MM,3,Mix_Fund,0.0,0.0,0.0,0.0051,0.0,0.0,0.001761375,0.0,0.0,0.0,0.0
MM,4,Vastgoed_Fund,0.0,0.0,0.0,0.0051,0.0,0.0,0.00203,0.0,0.0,0.0,0.0
MM,5,Deposito_Fund,0.0,0.0,0.0,0.0015,0.0,0.0,0.001412,0.0,0.0,0.0,0.0
MM,6,IndexPlus_Fund,0.0,0.0,0.0,0.0027,0.0,0.0,0.00203,0.0,0.0,0.0,0.0
MM,7,Emerging_Markets_Fund,0.0,0.0,0.0,0.0063,0.0,0.0,0.00203,0.0,0.0,0.0,0.0
MM,8,GarantiePlus,0.0,0.0,0.0,0.0015,0.0,0.0,0.001412,0.0,0.0,0.0,0.0
MM,9,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,10,Levensloop_HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,11,Equity_Holland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,12,-,0.0,0.0,0.0,0.0027,0.0,0.0,0.00203,0.0,0.0,0.0,0.0
MM,13,Equity_Europe,0.0,0.0,0.0,0.0039,0.0,0.0,0.00203,0.0,0.0,0.0,0.0
MM,14,Hypotheek_Rekening,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,15,Equity_North_America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,16,Equity_Pacific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,17,GAR_Click_95_FND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,18,AEGON_Garantie_Risico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,19,AEGON_Spaarhypotheek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,20,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,21,Comfort_Europe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,22,Dynamic_6,0.0,0.0,0.0,0.004891816,0.0,0.0,0.001797001,0.0,0.0,0.0,0.0
MM,23,Dynamic_4,0.0,0.0,0.0,0.004241838,0.0,0.0,0.001643604,0.0,0.0,0.0,0.0
MM,24,Deposito_Fonds_(Val),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,25,STAATSLENINGEN,0.0,0.0,0.0,0.0039,0.0,0.0,5.6E-4,0.0,0.0,0.0,0.0
MM,26,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,27,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,28,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,29,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,30,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,31,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,32,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,33,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,34,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,35,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,36,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
