age,gbv6165,gbv8085,gbm0005nr,gbm0005r,gbv0005nr,gbv0005r,gbv9095,gbv9500,gbm2130,gbm4749,gbm5660,gbm6165,gbm7680,gbm8085,gbv8590,gbm8590,gbm9095,gbm9500,gbm0005,gbm6670,gbm93,gbm2003,gbu2003,gbv93,gbv2003,gbm7680avn,gbm8085avn,gbm8085avnnierop,gbm9095_102,gbm9095avn,gbv8085avn,gbv8085avnnierop,gbv9095_112,f475,m475
29,5.51899E-4,4.54898E-4,5.43455E-4,8.41589E-4,3.08677E-4,4.464E-4,4.52797E-4,3.855E-4,0.002821389,0.001345104,0.001022788,0.001067129,9.00001E-4,8.26244E-4,4.31497E-4,7.77818E-4,8.00177E-4,7.027E-4,6.25005E-4,0.001018158,3.44277E-4,2.39529E-4,2.0454E-4,2.22752E-4,1.83532E-4,9.3E-4,8.3E-4,8.3E-4,8.0E-4,8.0E-4,7.0E-4,7.0E-4,4.5E-4,0.001037,0.0017118
30,5.83045E-4,4.8341E-4,5.51562E-4,8.62944E-4,3.23661E-4,4.72981E-4,4.8743E-4,4.087E-4,0.002766775,0.001407835,0.0010875,0.00114445,9.01625E-4,8.43169E-4,4.62309E-4,7.93827E-4,8.42945E-4,7.232E-4,6.60727E-4,0.001040905,3.71228E-4,2.5748E-4,2.1192E-4,2.56453E-4,1.97442E-4,9.3E-4,8.4E-4,8.4E-4,8.4E-4,8.4E-4,7.0E-4,7.0E-4,4.8E-4,0.0010717,0.0017967
31,6.17987E-4,5.16095E-4,5.81207E-4,9.18292E-4,3.4779E-4,5.13468E-4,5.25537E-4,4.357E-4,0.002941726,0.00147742,0.001159251,0.001229667,9.09562E-4,8.6735E-4,4.979E-4,8.1667E-4,8.90886E-4,7.565E-4,6.88362E-4,0.001064438,3.78001E-4,2.80966E-4,2.255E-4,2.83547E-4,2.13045E-4,9.3E-4,8.7E-4,8.7E-4,8.9E-4,8.9E-4,7.0E-4,7.0E-4,5.2E-4,0.0011106,0.0018905
32,6.57144E-4,5.53166E-4,6.03643E-4,9.62699E-4,3.82613E-4,5.70554E-4,5.67531E-4,4.741E-4,0.002974407,0.001554428,0.001238493,0.00132355,9.25872E-4,9.00439E-4,5.38988E-4,8.48094E-4,9.44532E-4,7.927E-4,7.25992E-4,0.001089277,4.04996E-4,3.09814E-4,2.4272E-4,3.17196E-4,2.33904E-4,9.3E-4,9.0E-4,9.0E-4,9.4E-4,9.4E-4,7.0E-4,7.0E-4,5.6E-4,0.001154,0.0019939
33,7.00935E-4,5.9534E-4,6.3476E-4,0.001021336,4.06957E-4,6.12795E-4,6.13528E-4,5.209E-4,0.002910218,0.001639951,0.001326303,0.001426984,9.52932E-4,9.43794E-4,5.86194E-4,8.89451E-4,0.00100452,8.342E-4,7.59317E-4,0.001115325,4.58987E-4,3.40997E-4,2.6428E-4,3.57814E-4,2.61369E-4,9.5E-4,9.4E-4,9.4E-4,0.001,0.001,7.0E-4,7.0E-4,6.1E-4,0.0012026,0.0021081
34,7.49986E-4,6.42838E-4,6.62036E-4,0.001074156,4.44492E-4,6.75678E-4,6.64147E-4,5.731E-4,0.002969278,0.001734686,0.001423357,0.001540866,9.93231E-4,9.98985E-4,6.39842E-4,9.42407E-4,0.001071698,8.898E-4,7.9747E-4,0.001142384,4.99561E-4,3.72503E-4,2.9044E-4,3.77956E-4,2.95077E-4,9.9E-4,0.001,0.001,0.00107,0.00107,7.0E-4,7.0E-4,6.6E-4,0.001257,0.0022342
35,8.05029E-4,6.96081E-4,6.88989E-4,0.001126665,4.88715E-4,7.4974E-4,7.19811E-4,6.385E-4,0.003169492,0.001839545,0.001530758,0.001666319,0.001050401,0.001067697,7.00559E-4,0.001008537,0.001147024,9.453E-4,8.50297E-4,0.001171078,5.53488E-4,4.03922E-4,3.1958E-4,3.84739E-4,3.34164E-4,0.00105,0.00107,0.00107,0.00114,0.00115,7.0E-4,7.0E-4,7.1E-4,0.0013177,0.0023733
36,8.66599E-4,7.65404E-4,7.32734E-4,0.001206942,5.42E-4,8.38871E-4,7.80946E-4,7.174E-4,0.003189794,0.001955879,0.001649725,0.00180438,0.001129425,0.001151221,7.6888E-4,0.001089329,0.001231158,0.0010116,9.09579E-4,0.001201108,5.66994E-4,4.36233E-4,3.5028E-4,3.98274E-4,3.77205E-4,0.00113,0.00115,0.00115,0.00123,0.00123,7.7E-4,7.7E-4,7.8E-4,0.0013857,0.0025268
37,9.35641E-4,8.39028E-4,7.8194E-4,0.001296659,5.93446E-4,9.26345E-4,8.48287E-4,8.096E-4,0.00315552,0.002084744,0.001781295,0.001956523,0.001236555,0.001251379,8.08725E-4,0.001186289,0.001325591,0.0010882,9.89435E-4,0.001423619,6.07543E-4,4.75919E-4,3.8222E-4,4.31962E-4,4.264E-4,0.00124,0.00125,0.00125,0.00132,0.00133,8.4E-4,8.4E-4,8.4E-4,0.0014616,0.0026962
38,0.001012907,9.19616E-4,8.48715E-4,0.001416034,6.49567E-4,0.001022249,9.2217E-4,8.958E-4,0.003320219,0.002227434,0.001926836,0.002124151,0.001381072,0.001369502,8.89467E-4,0.001208223,0.001431112,0.0011935,0.001065613,0.001644343,6.61481E-4,5.22484E-4,4.1578E-4,4.59045E-4,4.80983E-4,0.00138,0.00137,0.00137,0.00143,0.00143,9.2E-4,9.2E-4,9.2E-4,0.0015466,0.0028832
