prodboomcd,policy_year,value
SCHAKELSPAAR,112,0.8
SCHAKELSPAAR,113,0.8
SCHAKELSPAAR,114,0.8
SCHAKELSPAAR,115,0.8
SCHAKELSPAAR,116,0.8
SCHAKELSPAAR,117,0.8
SCHAKELSPAAR,118,0.8
SCHAKELSPAAR,119,0.8
SCHAKELSPAAR,120,0.8
SH,0,0.0
SH,1,0.5
SH,2,0.5
SH,3,0.5
SH,4,0.5
SH,5,0.5
SH,6,0.5
SH,7,0.5
SH,8,0.5
SH,9,0.5
SH,10,0.5
SH,11,0.5
SH,12,0.5
SH,13,0.5
SH,14,0.5
SH,15,0.5
SH,16,0.5
SH,17,0.5
SH,18,0.5
SH,19,0.5
SH,20,0.5
SH,21,0.5
SH,22,0.5
SH,23,0.5
SH,24,0.5
SH,25,0.5
SH,26,0.5
SH,27,0.5
SH,28,0.5
SH,29,0.5
SH,30,0.5
SH,31,0.5
SH,32,0.5
SH,33,0.5
SH,34,0.5
SH,35,0.5
SH,36,0.5
SH,37,0.5
SH,38,0.5
SH,39,0.5
SH,40,0.5
SH,41,0.5
SH,42,0.5
SH,43,0.5
SH,44,0.5
SH,45,0.5
SH,46,0.5
SH,47,0.5
SH,48,0.5
SH,49,0.5
SH,50,0.5
SH,51,0.5
SH,52,0.5
SH,53,0.5
SH,54,0.5
SH,55,0.5
SH,56,0.5
SH,57,0.5
SH,58,0.5
SH,59,0.5
SH,60,0.5
SH,61,0.5
SH,62,0.5
SH,63,0.5
SH,64,0.5
SH,65,0.5
SH,66,0.5
SH,67,0.5
SH,68,0.5
SH,69,0.5
SH,70,0.5
SH,71,0.5
SH,72,0.5
SH,73,0.5
SH,74,0.5
SH,75,0.5
SH,76,0.5
SH,77,0.5
SH,78,0.5
SH,79,0.5
SH,80,0.5
SH,81,0.5
SH,82,0.5
SH,83,0.5
SH,84,0.5
SH,85,0.5
SH,86,0.5
SH,87,0.5
SH,88,0.5
SH,89,0.5
SH,90,0.5
SH,91,0.5
SH,92,0.5
SH,93,0.5
SH,94,0.5
SH,95,0.5
SH,96,0.5
SH,97,0.5
SH,98,0.5
SH,99,0.5
SH,100,0.5
SH,101,0.5
SH,102,0.5
SH,103,0.5
SH,104,0.5
SH,105,0.5
SH,106,0.5
SH,107,0.5
SH,108,0.5
SH,109,0.5
SH,110,0.5
SH,111,0.5
SH,112,0.5
SH,113,0.5
SH,114,0.5
SH,115,0.5
SH,116,0.5
SH,117,0.5
SH,118,0.5
SH,119,0.5
SH,120,0.5
Spaarbeurs,0,0.5
Spaarbeurs,1,0.5
Spaarbeurs,2,0.5
Spaarbeurs,3,0.5
Spaarbeurs,4,0.5
Spaarbeurs,5,0.5
Spaarbeurs,6,0.5
Spaarbeurs,7,0.5
Spaarbeurs,8,0.5
Spaarbeurs,9,0.5
Spaarbeurs,10,0.5
Spaarbeurs,11,0.5
Spaarbeurs,12,0.5
Spaarbeurs,13,0.5
Spaarbeurs,14,0.5
Spaarbeurs,15,0.5
Spaarbeurs,16,0.5
Spaarbeurs,17,0.5
Spaarbeurs,18,0.5
Spaarbeurs,19,0.5
Spaarbeurs,20,0.5
Spaarbeurs,21,0.5
Spaarbeurs,22,0.5
Spaarbeurs,23,0.5
Spaarbeurs,24,0.5
Spaarbeurs,25,0.5
Spaarbeurs,26,0.5
Spaarbeurs,27,0.5
Spaarbeurs,28,0.5
Spaarbeurs,29,0.5
Spaarbeurs,30,0.5
Spaarbeurs,31,0.5
Spaarbeurs,32,0.5
Spaarbeurs,33,0.5
Spaarbeurs,34,0.5
Spaarbeurs,35,0.5
Spaarbeurs,36,0.5
Spaarbeurs,37,0.5
Spaarbeurs,38,0.5
Spaarbeurs,39,0.5
