runkey,scenarioname,type,maturityidentifier,rate,sortcol
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,253M,0.016345021363,253
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,254M,0.016357686057,254
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,255M,0.01636877604,255
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,256M,0.016378282665,256
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,257M,0.016386197251,257
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,258M,0.016392511083,258
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,259M,0.016397215414,259
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,260M,0.01640030147,260
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,261M,0.016401760446,261
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,262M,0.016401583514,262
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,263M,0.016399761824,263
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,264M,0.016396286503,264
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,265M,0.016398904262,265
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,266M,0.016407180821,266
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,267M,0.016413136165,267
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,268M,0.016416757607,268
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,269M,0.016418032427,269
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,270M,0.016416947873,270
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,271M,0.016413491164,271
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,272M,0.016407649499,272
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,273M,0.016399410058,273
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,274M,0.016388760009,274
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,275M,0.016375686513,275
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,276M,0.016360176731,276
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,277M,0.016334472607,277
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,278M,0.016304771817,278
