table_name,prodboomcd,projection_year,value
mort_shock_up_p_sens,Z_W_2_PUP_b,9,0.02297
mort_shock_up_p_sens,Z_W_2_PUP_b,8,0.02297
mort_shock_up_p_sens,Z_W_2_PUP_b,7,0.02297
mort_shock_up_p_sens,Z_W_2_PUP_b,6,0.02297
mort_shock_up_p_sens,Z_W_2_PUP_b,5,0.02297
mort_shock_up_p_sens,Z_W_2_PUP_b,4,0.02297
mort_shock_up_p_sens,Z_W_2_PUP_b,3,0.02297
mort_shock_up_p_sens,Z_W_2_PUP_b,2,0.02297
mort_shock_up_p_sens,Z_W_2_PUP_b,1,0.29827
mort_shock_up_p_sens,Z_W_2_PUP_b,0,0.0
mort_shock_up_p_sens,Z_W_2_PUP_a,11,0.0
mort_shock_up_p_sens,Z_W_2_PUP_a,10,0.0
mort_shock_up_p_sens,Z_W_2_PUP_a,9,0.0
mort_shock_up_p_sens,Z_W_2_PUP_a,8,0.0
mort_shock_up_p_sens,Z_W_2_PUP_a,7,0.0
mort_shock_up_p_sens,Z_W_2_PUP_a,6,0.0
mort_shock_up_p_sens,Z_W_2_PUP_a,5,0.0
mort_shock_up_p_sens,Z_W_2_PUP_a,4,0.0
mort_shock_up_p_sens,Z_W_2_PUP_a,3,0.0
mort_shock_up_p_sens,Z_W_2_PUP_a,2,0.0
mort_shock_up_p_sens,Z_W_2_PUP_a,1,0.0
mort_shock_up_p_sens,Z_W_2_PUP_a,0,0.0
