prodboomcd,policy_year,value
AORV_Type1,6,0.282119258
AORV_Type1,7,0.223574645
AORV_Type1,8,0.136180512
AORV_Type1,9,0.136147407
AORV_Type1,10,0.136114309
AORV_Type1,11,0.13608122
AORV_Type1,12,0.136048138
AORV_Type1,13,0.136015065
AORV_Type1,14,0.135981999
AORV_Type1,15,0.135948942
AORV_Type1,16,0.135915893
AORV_Type1,17,0.135882851
AORV_Type1,18,0.135849818
AORV_Type1,19,0.135816793
AORV_Type1,20,0.135783776
AORV_Type1,21,0.135750767
AORV_Type1,22,0.135717766
AORV_Type1,23,0.135684772
AORV_Type1,24,0.135651787
AORV_Type1,25,0.13561881
AORV_Type1,26,0.135585841
AORV_Type1,27,0.13555288
AORV_Type1,28,0.135519927
AORV_Type1,29,0.135486982
AORV_Type1,30,0.262620667
AORV_Type1,31,0.262620667
AORV_Type1,32,0.262620667
AORV_Type1,33,0.262620667
AORV_Type1,34,0.262620667
AORV_Type1,35,0.262620667
AORV_Type1,36,0.262620667
AORV_Type1,37,0.262620667
AORV_Type1,38,0.262620667
AORV_Type1,39,0.262620667
AORV_Type1,40,0.262620667
AORV_Type1,41,0.262620667
AORV_Type2,0,1.0
AORV_Type2,1,1.0
AORV_Type2,2,0.715275691
AORV_Type2,3,0.566843645
AORV_Type2,4,0.44921381
AORV_Type2,5,0.355994195
AORV_Type2,6,0.282119258
AORV_Type2,7,0.223574645
AORV_Type2,8,0.136180512
AORV_Type2,9,0.136147407
AORV_Type2,10,0.136114309
AORV_Type2,11,0.13608122
AORV_Type2,12,0.136048138
AORV_Type2,13,0.136015065
AORV_Type2,14,0.135981999
AORV_Type2,15,0.135948942
AORV_Type2,16,0.135915893
AORV_Type2,17,0.135882851
AORV_Type2,18,0.135849818
AORV_Type2,19,0.135816793
AORV_Type2,20,0.135783776
AORV_Type2,21,0.135750767
AORV_Type2,22,0.135717766
AORV_Type2,23,0.135684772
AORV_Type2,24,0.135651787
AORV_Type2,25,0.13561881
AORV_Type2,26,0.135585841
AORV_Type2,27,0.13555288
AORV_Type2,28,0.135519927
AORV_Type2,29,0.135486982
AORV_Type2,30,0.262620667
AORV_Type2,31,0.262620667
AORV_Type2,32,0.262620667
AORV_Type2,33,0.262620667
AORV_Type2,34,0.262620667
AORV_Type2,35,0.262620667
AORV_Type2,36,0.262620667
AORV_Type2,37,0.262620667
AORV_Type2,38,0.262620667
AORV_Type2,39,0.262620667
AORV_Type2,40,0.262620667
AORV_Type2,41,0.262620667
AORV_Type3,0,1.0
AORV_Type3,1,1.0
AORV_Type3,2,0.715275691
AORV_Type3,3,0.566843645
AORV_Type3,4,0.44921381
AORV_Type3,5,0.355994195
AORV_Type3,6,0.282119258
AORV_Type3,7,0.223574645
AORV_Type3,8,0.136180512
AORV_Type3,9,0.136147407
AORV_Type3,10,0.136114309
AORV_Type3,11,0.13608122
AORV_Type3,12,0.136048138
AORV_Type3,13,0.136015065
AORV_Type3,14,0.135981999
AORV_Type3,15,0.135948942
AORV_Type3,16,0.135915893
AORV_Type3,17,0.135882851
AORV_Type3,18,0.135849818
AORV_Type3,19,0.135816793
AORV_Type3,20,0.135783776
AORV_Type3,21,0.135750767
AORV_Type3,22,0.135717766
AORV_Type3,23,0.135684772
AORV_Type3,24,0.135651787
AORV_Type3,25,0.13561881
AORV_Type3,26,0.135585841
AORV_Type3,27,0.13555288
AORV_Type3,28,0.135519927
AORV_Type3,29,0.135486982
AORV_Type3,30,0.262620667
AORV_Type3,31,0.262620667
AORV_Type3,32,0.262620667
AORV_Type3,33,0.262620667
AORV_Type3,34,0.262620667
AORV_Type3,35,0.262620667
AORV_Type3,36,0.262620667
AORV_Type3,37,0.262620667
AORV_Type3,38,0.262620667
AORV_Type3,39,0.262620667
AORV_Type3,40,0.262620667
AORV_Type3,41,0.262620667
AORV_Type4,0,1.0
AORV_Type4,1,1.0
AORV_Type4,2,0.715275691
AORV_Type4,3,0.566843645
AORV_Type4,4,0.44921381
AORV_Type4,5,0.355994195
AORV_Type4,6,0.282119258
AORV_Type4,7,0.223574645
AORV_Type4,8,0.136180512
AORV_Type4,9,0.136147407
AORV_Type4,10,0.136114309
AORV_Type4,11,0.13608122
AORV_Type4,12,0.136048138
AORV_Type4,13,0.136015065
AORV_Type4,14,0.135981999
AORV_Type4,15,0.135948942
AORV_Type4,16,0.135915893
AORV_Type4,17,0.135882851
AORV_Type4,18,0.135849818
AORV_Type4,19,0.135816793
AORV_Type4,20,0.135783776
AORV_Type4,21,0.135750767
AORV_Type4,22,0.135717766
AORV_Type4,23,0.135684772
AORV_Type4,24,0.135651787
AORV_Type4,25,0.13561881
AORV_Type4,26,0.135585841
AORV_Type4,27,0.13555288
AORV_Type4,28,0.135519927
AORV_Type4,29,0.135486982
AORV_Type4,30,0.262620667
AORV_Type4,31,0.262620667
AORV_Type4,32,0.262620667
AORV_Type4,33,0.262620667
AORV_Type4,34,0.262620667
AORV_Type4,35,0.262620667
AORV_Type4,36,0.262620667
AORV_Type4,37,0.262620667
AORV_Type4,38,0.262620667
AORV_Type4,39,0.262620667
AORV_Type4,40,0.262620667
AORV_Type4,41,0.262620667
AOWPRIVEPLAN,0,0.040719222
AOWPRIVEPLAN,1,0.38263101
AOWPRIVEPLAN,2,0.346803037
