framework,scenario,asset_class,shockfactor
SII_PIM with VA,R2-UR1LT-1,Mix,0.98306525
SII_PIM with VA,R1-UR1LT-8,Mix,0.93038321
SII_PIM with VA,R1-UR1LT-7,Mix,0.93038321
SII_PIM with VA,R1-UR1LT-6,Mix,0.94503597
SII_PIM with VA,R1-UR1LT-5,Mix,0.94503597
SII_PIM with VA,R1-UR1LT-4,Mix,1.05217464
SII_PIM with VA,R1-UR1LT-3,Mix,1.05217464
SII_PIM with VA,R1-UR1LT-2,Mix,1.06057117
SII_PIM with VA,R1-UR1LT-1,Mix,1.06057117
SII_PIM with VA,R-R-8,Mix,0.94490116
SII_PIM with VA,R-R-7,Mix,0.91400891
SII_PIM with VA,R-R-6,Mix,0.95740334
SII_PIM with VA,R-R-5,Mix,0.93180121
SII_PIM with VA,R-R-4,Mix,1.06520863
SII_PIM with VA,R-R-3,Mix,1.03825095
SII_PIM with VA,R-R-2,Mix,1.07604908
SII_PIM with VA,R-R-1,Mix,1.04315935
SII_PIM with VA,R3_6,Mix,1.00183774
SII_PIM with VA,R3_5,Mix,1.00073747
SII_PIM with VA,R3_4,Mix,1.00036653
SII_PIM with VA,R3_3,Mix,0.9995675
SII_PIM with VA,R3_2,Mix,0.99913807
SII_PIM with VA,R3_1,Mix,0.99765299
SII_PIM with VA,R2_8,Mix,1.02030221
SII_PIM with VA,R2_7,Mix,1.01500363
SII_PIM with VA,R2_6,Mix,1.00864249
SII_PIM with VA,R2_5,Mix,1.00441226
SII_PIM with VA,R2_4,Mix,0.995604
SII_PIM with VA,R2_3,Mix,0.99104076
SII_PIM with VA,R2_2,Mix,0.98306525
SII_PIM with VA,R2_1,Mix,0.9749077
SII_PIM with VA,R1_8,Mix,0.89484163
SII_PIM with VA,R1_7,Mix,0.93038321
SII_PIM with VA,R1_6,Mix,0.96442959
SII_PIM with VA,R1_5,Mix,0.98288605
SII_PIM with VA,R1_4,Mix,1.01916405
SII_PIM with VA,R1_3,Mix,1.03661854
SII_PIM with VA,R1_2,Mix,1.06057117
SII_PIM with VA,R1_1,Mix,1.07773718
SII_PIM with VA,IR2_6,Mix,1.26244431
SII_PIM with VA,IR2_4,Mix,1.08139682
SII_PIM with VA,IR2_3,Mix,0.92424932
SII_PIM with VA,IR2_1,Mix,0.7363956
SII_PIM with VA,equity (+25%),Mix,1.08532012
SII_PIM with VA,equity  (-25%),Mix,0.91467988
SII_PIM with VA,IR2_EQ_EM_PE 40dn,Mix,0.8634878
SII_PIM with VA,IR2_EQ_EM_PE 20up,Mix,1.0682561
SII_PIM with VA,IR2_EQ_EM_PE 20dn,Mix,0.9317439
SII_PIM with VA,MR1_200dn,Mix,1.05676112
SII_PIM with VA,MR1_200up,Mix,0.94452053
SII_PIM with VA,MR1_100dn,Mix,1.02821796
SII_PIM with VA,MR1_100up,Mix,0.97210243
SII_PIM with VA,IR2_EQ_EM_PE 10up,Mix,1.03412805
SII_PIM with VA,IR2_EQ_EM_PE 10dn,Mix,0.96587195
SII_PIM with VA,IR3 SF scope (nonAPR),Mix,0.97452503
SII_PIM with VA,IR2_Type2_up,Mix,1.01512624
SII_PIM with VA,IR2_up,Mix,1.16101195
SII_PIM with VA,IR2_Type2_dn,Mix,0.98487376
SII_PIM with VA,IR2_dn,Mix,0.84979697
SII_PIM with VA,IR1,Mix,0.94248271
SII_PIM with VA,PC3-,Mix,0.99868149
SII_PIM with VA,PC2-,Mix,0.98640105
SII_PIM with VA,PC1-,Mix,1.05217464
SII_PIM with VA,PC3+,Mix,1.00110293
SII_PIM with VA,PC2+,Mix,1.01268619
SII_PIM with VA,PC1+,Mix,0.94503597
SII_SF with VA,MR3,Mix,0.9844917
SII_SF with VA,IR3,Mix,0.97452503
SII_SF with VA,IR2_Type2_up,Mix,1.01512624
SII_SF with VA,IR2_up,Mix,1.13910858
SII_SF with VA,IR2_Type2_dn,Mix,0.98487376
SII_SF with VA,IR2_dn,Mix,0.86089142
SII_SF with VA,IR1,Mix,0.96112185
SII_SF with VA,MR1_DN,Mix,1.03270724
SII_SF with VA,MR1_UP,Mix,0.960375
EF,+100bp,Mix,0.97210243
EF,-100bp,Mix,1.02821796
EF,IR3,Mix,0.97452503
EF,IR2,Mix,0.84979697
EF,PC3-,Mix,0.99868149
EF,PC2-,Mix,0.98640105
EF,PC1-,Mix,1.05217464
EF,PC3+,Mix,1.00110293
EF,PC2+,Mix,1.01268619
EF,PC1+,Mix,0.94503597
IFRS17,DU_nonFI_25up,Mix,1.08532012
IFRS17,DU_nonFI_10up,Mix,1.03412805
IFRS17,DU_nonFI_10dn,Mix,0.96587195
IFRS17,DU_nonFI_25dn,Mix,0.91467988
IFRS17,+100bp incl UFR,Mix,0.97210243
IFRS17,-100bp incl UFR,Mix,1.02821796
IFRS17,-200bp incl UFR,Mix,1.05676112
LAT/IFRS,DU_FI_mortgagespread_50up,Mix,0.99624811
LAT/IFRS,DU_FI_mortgagespread_50dn,Mix,1.00377462
LAT/IFRS,DU_FI_bondcreditspread_50up,Mix,0.98976335
LAT/IFRS,DU_FI_bondcreditspread_50dn,Mix,1.01029401
LAT/IFRS,DU_nonFI_IR2_EQ_EM_PE_25up,Mix,1.08532012
LAT/IFRS,DU_nonFI_IR2_EQ_EM_PE_10up,Mix,1.03412805
LAT/IFRS,DU_nonFI_IR2_EQ_EM_PE_10dn,Mix,0.96587195
LAT/IFRS,DU_nonFI_IR2_EQ_EM_PE_25dn,Mix,0.91467988
LAT/IFRS,Currency_USD_15dn,Mix,0.99483057
LAT/IFRS,Currency_USD_15up,Mix,1.00516943
LAT/IFRS,Currency_EUR_15dn,Mix,1.00937391
LAT/IFRS,Currency_EUR_15up,Mix,0.99062609
LAT/IFRS,-200bp incl UFR,Mix,1.05676112
LAT/IFRS,-100bp incl UFR,Mix,1.02821796
LAT/IFRS,+100bp incl UFR,Mix,0.97210243
LAT/IFRS,-200bp excl UFR,Mix,1.05676112
LAT/IFRS,-100bp excl UFR,Mix,1.02821796
LAT/IFRS,+100bp excl UFR,Mix,0.97210243
Proxy,IR2_1,Equity,0.339826
Proxy,IR2_1,Mix,0.774695
Proxy,IR2_1,Rente,1
Proxy,IR2_2,Equity,0.559884
Proxy,IR2_2,Mix,0.849797
Proxy,IR2_2,Rente,1
Proxy,IR2_3,Equity,0.779942
Proxy,IR2_3,Mix,0.924898
Proxy,IR2_3,Rente,1
Proxy,IR2_4,Equity,1.235894
Proxy,IR2_4,Mix,1.080506
Proxy,IR2_4,Rente,1
Proxy,IR2_5,Equity,1.471788
Proxy,IR2_5,Mix,1.161012
Proxy,IR2_5,Rente,1
Proxy,IR2_6,Equity,1.707682
Proxy,IR2_6,Mix,1.241518
Proxy,IR2_6,Rente,1
Proxy,IR3_1,Equity,1
