prodboomcd,age,value
AEGON_SPAARBEURS_tussenpersoon,24,1.0
AEGON_SPAARBEURS_tussenpersoon,25,1.0
AEGON_SPAARBEURS_tussenpersoon,26,1.0
AEGON_SPAARBEURS_tussenpersoon,27,1.0
AEGON_SPAARBEURS_tussenpersoon,28,1.0
AEGON_SPAARBEURS_tussenpersoon,29,1.0
AEGON_SPAARBEURS_tussenpersoon,30,1.0
AEGON_SPAARBEURS_tussenpersoon,31,1.0
AEGON_SPAARBEURS_tussenpersoon,32,1.0
AEGON_SPAARBEURS_tussenpersoon,33,1.0
AEGON_SPAARBEURS_tussenpersoon,34,1.0
AEGON_SPAARBEURS_tussenpersoon,35,1.0
AEGON_SPAARBEURS_tussenpersoon,36,1.0
AEGON_SPAARBEURS_tussenpersoon,37,1.0
AEGON_SPAARBEURS_tussenpersoon,38,1.0
AEGON_SPAARBEURS_tussenpersoon,39,1.0
AEGON_SPAARBEURS_tussenpersoon,40,1.0
AEGON_SPAARBEURS_tussenpersoon,41,1.0
AEGON_SPAARBEURS_tussenpersoon,42,1.0
AEGON_SPAARBEURS_tussenpersoon,43,1.0
AEGON_SPAARBEURS_tussenpersoon,44,1.0
AEGON_SPAARBEURS_tussenpersoon,45,1.0
AEGON_SPAARBEURS_tussenpersoon,46,1.0
AEGON_SPAARBEURS_tussenpersoon,47,1.0
AEGON_SPAARBEURS_tussenpersoon,48,1.0
AEGON_SPAARBEURS_tussenpersoon,49,1.0
AEGON_SPAARBEURS_tussenpersoon,50,1.0
AEGON_SPAARBEURS_tussenpersoon,51,1.0
AEGON_SPAARBEURS_tussenpersoon,52,1.0
AEGON_SPAARBEURS_tussenpersoon,53,1.0
AEGON_SPAARBEURS_tussenpersoon,54,1.0
AEGON_SPAARBEURS_tussenpersoon,55,1.0
AEGON_SPAARBEURS_tussenpersoon,56,1.0
AEGON_SPAARBEURS_tussenpersoon,57,1.0
AEGON_SPAARBEURS_tussenpersoon,58,1.0
AEGON_SPAARBEURS_tussenpersoon,59,1.0
AEGON_SPAARBEURS_tussenpersoon,60,1.0
AEGON_SPAARBEURS_tussenpersoon,61,1.0
AEGON_SPAARBEURS_tussenpersoon,62,1.0
AEGON_SPAARBEURS_tussenpersoon,63,1.0
AEGON_SPAARBEURS_tussenpersoon,64,1.0
AEGON_SPAARBEURS_tussenpersoon,65,1.0
AEGON_SPAARBEURS_tussenpersoon,66,1.0
AEGON_SPAARBEURS_tussenpersoon,67,1.0
AEGON_SPAARBEURS_tussenpersoon,68,1.0
AEGON_SPAARBEURS_tussenpersoon,69,1.0
AEGON_SPAARBEURS_tussenpersoon,70,1.0
AEGON_SPAARBEURS_tussenpersoon,71,1.0
AEGON_SPAARBEURS_tussenpersoon,72,1.0
AEGON_SPAARBEURS_tussenpersoon,73,1.0
AEGON_SPAARBEURS_tussenpersoon,74,1.0
AEGON_SPAARBEURS_tussenpersoon,75,1.0
AEGON_SPAARBEURS_tussenpersoon,76,1.0
AEGON_SPAARBEURS_tussenpersoon,77,1.0
AEGON_SPAARBEURS_tussenpersoon,78,1.0
AEGON_SPAARBEURS_tussenpersoon,79,1.0
AEGON_SPAARBEURS_tussenpersoon,80,1.0
AEGON_SPAARBEURS_tussenpersoon,81,1.0
AFP,15,1.0
AFP,16,1.0
AFP,17,1.0
AFP,18,1.0
AFP,19,1.0
AFP,20,1.0
AFP,21,1.0
AFP,22,1.0
AFP,23,1.0
AFP,24,1.0
AFP,25,1.0
AFP,26,1.0
AFP,27,1.0
AFP,28,1.0
AFP,29,1.0
AFP,30,1.0
AFP,31,1.0
AFP,32,1.0
AFP,33,1.0
AFP,34,1.0
AFP,35,1.0
AFP,36,1.0
AFP,37,1.0
AFP,38,1.0
AFP,39,1.0
AFP,40,1.0
AFP,41,1.0
AFP,42,1.0
AFP,43,1.0
AFP,44,1.0
AFP,45,1.0
AFP,46,1.0
AFP,47,1.0
AFP,48,1.0
AFP,49,1.0
AFP,50,1.0
AFP,51,1.0
AFP,52,1.0
AFP,53,1.0
AFP,54,1.0
AFP,55,1.0
AFP,56,1.0
AFP,57,1.0
AFP,58,1.0
AFP,59,1.0
AFP,60,1.0
AFP,61,1.0
AFP,62,1.0
AFP,63,1.0
AFP,64,1.0
AFP,65,1.0
AFP,66,1.0
AFP,67,1.0
AFP,68,1.0
AFP,69,1.0
AFP,70,1.0
AFP,71,1.0
AFP,72,1.0
AFP,73,1.0
AFP,74,1.0
AFP,75,1.0
AFP,76,1.0
AFP,77,1.0
AFP,78,1.0
AFP,79,1.0
AFP,80,1.0
AFP,81,1.0
ALH,15,1.0
ALH,16,1.0
ALH,17,1.0
ALH,18,1.0
ALH,19,1.0
ALH,20,1.0
ALH,21,1.0
ALH,22,1.0
ALH,23,1.0
ALH,24,1.0
ALH,25,1.0
ALH,26,1.0
ALH,27,1.0
ALH,28,1.0
ALH,29,1.0
ALH,30,1.0
ALH,31,1.0
ALH,32,1.0
ALH,33,1.0
ALH,34,1.0
ALH,35,1.0
ALH,36,1.0
ALH,37,1.0
ALH,38,1.0
ALH,39,1.0
ALH,40,1.0
ALH,41,1.0
ALH,42,1.0
ALH,43,1.0
ALH,44,1.0
ALH,45,1.0
ALH,46,1.0
ALH,47,1.0
ALH,48,1.0
ALH,49,1.0
ALH,50,1.0
ALH,51,1.0
ALH,52,1.0
ALH,53,1.0
ALH,54,1.0
ALH,55,1.0
ALH,56,1.0
ALH,57,1.0
ALH,58,1.0
ALH,59,1.0
ALH,60,1.0
ALH,61,1.0
ALH,62,1.0
ALH,63,1.0
ALH,64,1.0
ALH,65,1.0
ALH,66,1.0
ALH,67,1.0
ALH,68,1.0
ALH,69,1.0
ALH,70,1.0
ALH,71,1.0
ALH,72,1.0
