model,count,fund_name,composite,weight
DET,1017,High_Yield_North_America_Income,ESG.CompositePortfolios.HY-NorthAmerica.IncomeYield,1.0
DET,1018,High_Yield_North_America_Total,ESG.CompositePortfolios.HY-NorthAmerica.TotalReturn,1.0
DET,1019,LDO_Income,ESG.CompositePortfolios.LDO.IncomeYield,1.0
DET,1020,LDO_Total,ESG.CompositePortfolios.LDO.TotalReturn,1.0
DET,1021,Mortgages_Income,ESG.CompositePortfolios.Mortgages.IncomeYield,1.0
DET,1022,Mortgages_Total,ESG.CompositePortfolios.Mortgages.TotalReturn,1.0
DET,1023,Overrente_Total,OverrenteVzINDEXTYPE,1.0
DET,1024,Private_Equity_Income,ESG.EquityAssets.PrivateEquity.TotalReturn,1.0
DET,1025,Private_Equity_Total,ESG.EquityAssets.PrivateEquity.TotalReturn,1.0
DET,1026,Real_Estate_Income,ESG.EquityAssets.RealEstate.TotalReturn,1.0
DET,1027,Real_Estate_Total,ESG.EquityAssets.RealEstate.TotalReturn,1.0
DET,1028,Savings_4.5perc_Total,SAVINGS_ACCOUNT_4.5PERC,1.0
DET,1029,Savings_4perc_Total,SAVINGS_ACCOUNT_4PERC,1.0
DET,1030,Savings_5.5perc_Total,SAVINGS_ACCOUNT_5.5PERC,1.0
DET,1031,Savings_6perc_Total,SAVINGS_ACCOUNT_6PERC,1.0
DET,1032,WrdXComVz_Income,AEGON_Cash_Total,1.0
DET,1033,WrdXComVz_Total,AEGON_Cash_Total,1.0
DET,1034,MartinVlgOld_hyp_Income,AEGON_Cash_Total,1.0
DET,1035,MartinVlgOld_hyp_Total,AEGON_Cash_Total,1.0
DET,1036,BPRAF_hyp_Income,AEGON_Cash_Total,1.0
DET,1037,BPRAF_hyp_Total,AEGON_Cash_Total,1.0
DET,1038,KempenGlHgDiv_Income,AEGON_Cash_Total,1.0
DET,1039,KempenGlHgDiv_Total,AEGON_Cash_Total,1.0
DET,1040,KempenRESISFund_Income,AEGON_Cash_Total,1.0
DET,1041,KempenRESISFund_Total,AEGON_Cash_Total,1.0
DET,1042,PregCredits_hyp_Income,AEGON_Cash_Total,1.0
DET,1043,PregCredits_hyp_Total,AEGON_Cash_Total,1.0
DET,1044,PregStaat_hyp_Income,AEGON_Cash_Total,1.0
DET,1045,PregStaat_hyp_Total,AEGON_Cash_Total,1.0
DET,1046,TKPTopRealEst_Income,AEGON_Cash_Total,1.0
DET,1047,TKPTopRealEst_Total,AEGON_Cash_Total,1.0
DET,1048,TopTKPInflatn_Income,AEGON_Cash_Total,1.0
DET,1049,TopTKPInflatn_Total,AEGON_Cash_Total,1.0
DET,1050,World_(Developed)_Income,AEGON_Cash_Total,1.0
DET,1051,World_(Developed)_Total,AEGON_Cash_Total,1.0
DET,1052,World_(All_Emerging)_Income,AEGON_Cash_Total,1.0
DET,1053,World_(All_Emerging)_Total,AEGON_Cash_Total,1.0
DET,1054,EmuCoBndBVz_Income,Emu3ABndBVz_Income,1.0
DET,1055,EmuCoBndBVz_Total,Emu3ABndBVz_Total,1.0
DET,1056,EmuCoBndVz_Income,Emu3ABndVz_Income,1.0
DET,1057,EmuCoBndVz_Total,Emu3ABndVz_Total,1.0
FP,1,EquityVz_Total,ESG.Economies.EUR.NominalSpotRate(Govt._0.5),1.0
FP,2,MixVz_Total,ESG.Economies.EUR.NominalSpotRate(Govt._0.25),1.0
FP,3,RntVz_Total,ESG.Economies.EUR.NominalSpotRate(Govt._1),1.0
FP,4,AEGON_Staatsleningen_Total,ESG.Economies.EUR.NominalSpotRate(Govt._5),1.0
FP,5,EmAsEqVz_Total,ESG.COFspread,1.0
FP,6,EmEurEqVz_Total,ESG.COFspread,1.0
FP,7,GTAAVz_Total,ESG.COFspread,1.0
FP,8,AAAOVzP_Total,ESG.COFspread,1.0
FP,9,WorldComVz_Total,ESG.COFspread,1.0
FP,10,VastgoedFd_Total,ESG.COFspread,1.0
