runname,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0069_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_Correlation-IFRS_MtD_Correlation-IFRS_MtD_ActualFundPerformance,61.04720715212064,20.087578656233763,35.576482228854374,40.51,9.87,26.46,22.91,9.87,1.0,1.0,1.0,26.46,33.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.14,18.54,9.87,14.360000001436,14.360000001436,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0070_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_Correlation-IFRS_MtD_OCS-IFRS_MtD_ActualFundPerformance,61.04720715212064,20.087578656233763,35.576482228854374,40.51,9.87,26.46,22.91,9.87,1.0,1.0,1.0,26.46,33.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.14,18.54,9.87,14.360000001436,14.360000001436,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0071_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_RefX0-IFRS_MtD_OCS-IFRS_MtD_ActualFundPerformance,61.04720715212064,20.087578656233763,35.576482228854374,40.51,9.87,26.46,22.91,9.87,1.0,1.0,1.0,26.46,33.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.14,18.54,9.87,14.360000001436,14.360000001436,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0072_2023M03_Base-GH_IFRS_MtD_Cashflows-GH_CALIB_T_Base-LV30Y_MtD_RefX0-IFRS_MtD_OCS-IFRS_MtD_Cashflows,61.04720715212064,20.087578656233763,35.576482228854374,40.51,9.87,26.46,22.91,9.87,1.0,1.0,1.0,26.46,33.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.14,18.54,9.87,14.360000001436,14.360000001436,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0073_2023M03_Base-GH_IFRS_MtD_Cashflows-GH_CALIB_T_Base-LV30Y_MtD_RefX0-IFRS_MtD_OCS-IFRS_MtD_Bookings,61.04720715212064,20.087578656233763,35.576482228854374,40.51,9.87,26.46,22.91,9.87,1.0,1.0,1.0,26.46,33.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.14,18.54,9.87,14.360000001436,14.360000001436,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0074_2023M03_Base-GH_IFRS_MtD_Cashflows-GH_CALIB_T_Base-LV30Y_MtD_RefX0-IFRS_MtD_OCS-IFRS_MtD_ExitClients,61.04720715212064,20.087578656233763,35.576482228854374,40.51,9.87,26.46,22.91,9.87,1.0,1.0,1.0,26.46,33.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.14,18.54,9.87,14.360000001436,14.360000001436,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0075_2023M03_Base-GH_IFRS_MtD_Cashflows-GH_CALIB_T_Base-LV30Y_MtD_RefX0-IFRS_MtD_OCS-IFRS_MtD_UpdateAssetSource,60.84,19.61,35.38,40.51,9.87,26.46,22.91,9.87,1.0,1.0,1.0,26.46,33.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.14,18.54,9.87,14.36,14.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0076_2023M03_Base-GH_IFRS_MtD_Cashflows-GH_CALIB_T_Base-LV30Y_MtD_RefX0-IFRS_MtD_OCS-IFRS_MtD_UpdateCashFlows,60.84,19.61,35.38,40.51,9.87,26.46,22.91,9.87,1.0,1.0,1.0,26.46,33.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.14,18.54,9.87,14.36,14.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0077_2023M03_Base-GH_IFRS_MtD_Cashflows-GH_CALIB_T_Base-LV30Y_MtD_RefX0-IFRS_MtD_OCS-IFRS_MtD_NewClients,60.84,19.61,35.38,40.51,9.87,26.46,22.91,9.87,1.0,1.0,1.0,26.46,33.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.14,18.54,9.87,14.36,14.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0078_2023M03_Base-GH_IFRS_MtD_Cashflows-GH_CALIB_T_Base-LV30Y_MtD_RefX0-IFRS_MtD_OCS-IFRS_MtD_OtherClientData,61.05,20.08,35.58,38.31,9.89,27.12,23.05,9.89,1.0,1.0,1.0,27.12,33.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.31,18.79,9.89,14.4,14.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0079_2023M03_Base-GH_IFRS_MtD_Cashflows-GH_CALIB_T_Base-LV30Y_MtD_RefX0-IFRS_MtD_OCS-IFRS_MtD_LiabilityModel,61.05,20.08,35.58,38.31,9.89,27.12,23.05,9.89,1.0,1.0,1.0,27.12,33.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.31,18.79,9.89,14.4,14.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0080_2023M03_Base-GH_IFRS_MtD_ParameterUpdatePost-GH_CALIB_T_Base-LV30Y_MtD_ParameterUpdate-IFRS_MtD_ParameterUpdate-IFRS_MtD_ParameterUpdate,61.05,20.08,35.58,38.31,9.89,27.12,23.05,9.89,1.0,1.0,1.0,27.12,33.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.31,18.79,9.89,14.4,14.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0081_2023M03_Base-GH_IFRS_MtD_ModelChange-GH_CALIB_T_Base-LV30Y_MtD_ModelChange-IFRS_MtD_ModelChange-IFRS_MtD_ModelChange,61.05,20.08,35.58,38.31,9.89,27.12,23.05,9.89,1.0,1.0,1.0,27.12,33.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.31,18.79,9.89,14.4,14.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0082_2023M03_Base-GH_IFRS_T_EndValue-GH_CALIB_T_Base-LV30Y_T_EndValue-IFRS_EndValue-IFRS_T_Base,61.05,20.08,35.58,38.31,9.89,27.12,23.05,9.89,1.0,1.0,1.0,27.12,33.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.31,18.79,9.89,14.4,14.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0083_2023M03_Base-GH_IFRS_T_Base-GH_CALIB_T_Base-LV30Y_T_Base-IFRS_Base-IFRS_T_Base,61.05,20.08,35.58,38.31,9.89,27.12,23.05,9.89,1.0,1.0,1.0,27.12,33.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.31,18.79,9.89,14.4,14.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0084_2023M03_Base-GH_IFRS_T_DI_200dn(00_60)-GH_CALIB_T_DI_200dn(00_60)-LV30Y_T_DI_shock-IFRS_Base-IFRS_T_Base,61.05,20.08,35.58,38.31,9.89,27.12,23.05,9.89,1.0,1.0,1.0,27.12,33.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.31,18.79,9.89,14.4,14.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0085_2023M03_Base-GH_IFRS_T_DI_100dn(00_60)-GH_CALIB_T_DI_100dn(00_60)-LV30Y_T_DI_shock-IFRS_Base-IFRS_T_Base,61.05,20.08,35.58,38.31,9.89,27.12,23.05,9.89,1.0,1.0,1.0,27.12,33.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.31,18.79,9.89,14.4,14.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0086_2023M03_Base-GH_IFRS_T_DI_100up(00_60)-GH_CALIB_T_DI_100up(00_60)-LV30Y_T_DI_shock-IFRS_Base-IFRS_T_Base,61.05,20.08,35.58,38.31,9.89,27.12,23.05,9.89,1.0,1.0,1.0,27.12,33.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.31,18.79,9.89,14.4,14.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0087_2023M03_Base-GH_IFRS_T_DI_200up(00_60)-GH_CALIB_T_DI_200up(00_60)-LV30Y_T_DI_shock-IFRS_Base-IFRS_T_Base,61.05,20.08,35.58,38.31,9.89,27.12,23.05,9.89,1.0,1.0,1.0,27.12,33.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.31,18.79,9.89,14.4,14.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0088_2023M03_Base-GH_IFRS_T_DI_200dn(00_60)_UFR_200dn-GH_CALIB_T_DI_200dn(00_60)-LV30Y_T_DI_shock-IFRS_Base-IFRS_T_Base,61.05,20.08,35.58,38.31,9.89,27.12,23.05,9.89,1.0,1.0,1.0,27.12,33.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.31,18.79,9.89,14.4,14.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0089_2023M03_Base-GH_IFRS_T_DI_100dn(00_60)_UFR_100dn-GH_CALIB_T_DI_100dn(00_60)-LV30Y_T_DI_shock-IFRS_Base-IFRS_T_Base,61.05,20.08,35.58,38.31,9.89,27.12,23.05,9.89,1.0,1.0,1.0,27.12,33.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.31,18.79,9.89,14.4,14.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0090_2023M03_Base-GH_IFRS_T_DI_100up(00_60)_UFR_100up-GH_CALIB_T_DI_100up(00_60)-LV30Y_T_DI_shock-IFRS_Base-IFRS_T_Base,61.05,20.08,35.58,38.31,9.89,27.12,23.05,9.89,1.0,1.0,1.0,27.12,33.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.31,18.79,9.89,14.4,14.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0091_2023M03_Base-GH_IFRS_T_DI_200up(00_60)_UFR_200up-GH_CALIB_T_DI_200up(00_60)-LV30Y_T_DI_shock-IFRS_Base-IFRS_T_Base,61.05,20.08,35.58,38.31,9.89,27.12,23.05,9.89,1.0,1.0,1.0,27.12,33.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.31,18.79,9.89,14.4,14.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
