keyfield,postid,product,group,fondscd,unitaant,garkap,belegprc,prodboomcd,tarcd,unitsavprt,unitsrv_pp,unitext_bp,recordno
608317660,608317660,FUND,AXENT,003,596.5643,13938,100.0,SCHAKELSPAAR,SCHAKELSPAAR,581.344,15.2203,0.0,114
608317670,608317670,FUND,AXENT,002,602.6144,25314,100.0,SCHAKELSPAAR,SCHAKELSPAAR,599.5416,3.0728,0.0,115
608317690,608317690,FUND,AXENT,003,869.4766,20126,100.0,SCHAKELSPAAR,SCHAKELSPAAR,848.4286,21.048,0.0,116
608317780,608317780,FUND,AXENT,003,218.7593,4989,100.0,SCHAKELSPAAR,SCHAKELSPAAR,218.0262,0.7331,0.0,117
608317870,608317870,FUND,AXENT,012,170.1489,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,163.4856,6.6633,0.0,118
608317900,608317900,FUND,AXENT,002,564.941,21489,100.0,SCHAKELSPAAR,SCHAKELSPAAR,547.0025,17.9385,0.0,119
608317910,608317910,FUND,AXENT,003,231.7147,4958,100.0,SCHAKELSPAAR,SCHAKELSPAAR,220.0625,11.6522,0.0,120
608317920,608317920,FUND,AXENT,003,31.476300000000002,1029,100.0,SCHAKELSPAAR,SCHAKELSPAAR,31.3212,0.1551,0.0,121
608318030,608318030,FUND,AXENT,003,91.7929,1975,100.0,SCHAKELSPAAR,SCHAKELSPAAR,91.3935,0.3994,0.0,122
608318080,608318080,FUND,AXENT,003,573.0529,15335,100.0,SCHAKELSPAAR,SCHAKELSPAAR,565.5424,7.5105,0.0,123
608318130,608318130,FUND,AXENT,003,257.785,4716,100.0,SCHAKELSPAAR,SCHAKELSPAAR,255.3724,2.4126,0.0,124
608318140,608318140,FUND,AXENT,012,392.51529999999997,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,388.8911,3.6242,0.0,125
608318200,608318200,FUND,AXENT,003,199.8268,3168,100.0,SCHAKELSPAAR,SCHAKELSPAAR,192.9325,6.8943,0.0,126
608318240,608318240,FUND,AXENT,003,226.74210000000002,6128,100.0,SCHAKELSPAAR,SCHAKELSPAAR,221.4241,5.318,0.0,127
608318260,608318260,FUND,AXENT,003,250.90980000000002,6921,100.0,SCHAKELSPAAR,SCHAKELSPAAR,249.4942,1.4156,0.0,128
608318330,608318330,FUND,AXENT,003,809.0883,17815,100.0,SCHAKELSPAAR,SCHAKELSPAAR,802.3892,6.6991,0.0,129
608318340,608318340,FUND,AXENT,003,876.1508,20044,100.0,SCHAKELSPAAR,SCHAKELSPAAR,872.7317,3.4191,0.0,130
608318370,608318370,FUND,AXENT,003,743.5336000000001,20457,100.0,SCHAKELSPAAR,SCHAKELSPAAR,737.7847,5.7489,0.0,131
608318450,608318450,FUND,AXENT,002,1180.109,49383,100.0,SCHAKELSPAAR,SCHAKELSPAAR,1169.925,10.184,0.0,132
608318540,608318540,FUND,AXENT,003,40.8615,1085,100.0,SCHAKELSPAAR,SCHAKELSPAAR,40.474,0.3875,0.0,133
608318550,608318550,FUND,AXENT,002,89.9309,3293,100.0,SCHAKELSPAAR,SCHAKELSPAAR,88.9891,0.9418,0.0,134
608318610,608318610,FUND,AXENT,003,441.2171,9338,100.0,SCHAKELSPAAR,SCHAKELSPAAR,439.8901,1.327,0.0,135
608318620,608318620,FUND,AXENT,003,440.3931,9315,100.0,SCHAKELSPAAR,SCHAKELSPAAR,438.9816,1.4115,0.0,136
608318650,608318650,FUND,AXENT,012,513.9325,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,499.1814,14.7511,0.0,137
608318660,608318660,FUND,AXENT,002,391.72799999999995,15989,100.0,SCHAKELSPAAR,SCHAKELSPAAR,388.8434,2.8846,0.0,138
608318670,608318670,FUND,AXENT,003,759.2392,19137,100.0,SCHAKELSPAAR,SCHAKELSPAAR,746.7225,12.5167,0.0,139
608318680,608318680,FUND,AXENT,003,274.2431,7877,100.0,SCHAKELSPAAR,SCHAKELSPAAR,273.0889,1.1542,0.0,140
608318760,608318760,FUND,AXENT,003,202.9306,4630,100.0,SCHAKELSPAAR,SCHAKELSPAAR,198.8116,4.119,0.0,141
608318840,608318840,FUND,AXENT,003,143.8157,2275,100.0,SCHAKELSPAAR,SCHAKELSPAAR,138.1769,5.6388,0.0,142
608318930,608318930,FUND,AXENT,012,555.4903,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,553.5166,1.9737,0.0,143
608319080,608319080,FUND,AXENT,003,358.3368,7641,100.0,SCHAKELSPAAR,SCHAKELSPAAR,355.3925,2.9443,0.0,144
608319130,608319130,FUND,AXENT,003,1056.7227,23287,100.0,SCHAKELSPAAR,SCHAKELSPAAR,1034.9722,21.7505,0.0,145
608319190,608319190,FUND,AXENT,003,566.6437,15281,100.0,SCHAKELSPAAR,SCHAKELSPAAR,550.1168,16.5269,0.0,146
608319210,608319210,FUND,AXENT,012,1024.0954,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,1006.2031,17.8923,0.0,147
608319230,608319230,FUND,AXENT,003,272.19620000000003,6380,100.0,SCHAKELSPAAR,SCHAKELSPAAR,261.3405,10.8557,0.0,148
608319320,608319320,FUND,AXENT,012,556.1244,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,554.2156,1.9088,0.0,149
