postid,product,prodbm_cd,group,nb_if,recordno,paid_uppol,no_pol,no_ins,sales_chan,intermed,leg_entity,riderprem,rid_pay_mt,rid_prm_fr,iss_yr,iss_mth,sex_1,age_iss_1,dob_yr_1,dob_mth_1,age_adj_1,sex_2,age_iss_2,dob_yr_2,dob_mth_2,age_adj_2,perstpcd,profit_grp,tarcd,kas,ben_term_k,rid_cd,acc_cov_cd,acc_prem,acc_pay_mt,ris_res,rid_ibnr,rid_age_rs
608338890,SPAARKAS,SCHAKELSPAAR,1,IF,55,N,1,1,ASB,,C,0.0,0.0,Q,1998,5,M,40.42,1957,11,0.0,,,,,,N,F,SCHAKELSPAAR,F,294.0,0,0,0.0,0.0,,,
608490280,SPAARKAS,SCHAKELSPAAR,1,IF,56,Y,1,1,MVI,,C,0.0,0.0,M,2001,7,F,38.5,1962,12,0.0,,,,,,N,F,SCHAKELSPAAR,F,317.0,0,0,0.0,0.0,,,
608490970,SPAARKAS,SCHAKELSPAAR,1,IF,57,N,1,1,ASB,,C,0.0,0.0,M,2001,7,F,37.0,1964,6,0.0,,,,,,N,F,SCHAKELSPAAR,F,335.0,0,0,0.0,0.0,,,
608491770,SPAARKAS,SCHAKELSPAAR,1,IF,58,N,1,1,ASB,,C,0.0,0.0,M,2001,7,M,31.5,1969,12,0.0,,,,,,N,F,SCHAKELSPAAR,F,348.0,0,0,0.0,0.0,,,
608493010,SPAARKAS,SCHAKELSPAAR,1,IF,59,Y,1,1,MVI,,C,0.0,0.0,M,2001,8,M,26.67,1974,11,0.0,,,,,,N,F,SCHAKELSPAAR,F,360.0,0,0,0.0,0.0,,,
608494560,SPAARKAS,SCHAKELSPAAR,1,IF,60,N,1,1,ASB,,C,0.0,0.0,M,2001,7,F,27.17,1974,4,0.0,,,,,,N,F,SCHAKELSPAAR,F,360.0,0,0,0.0,0.0,,,
608495730,SPAARKAS,SCHAKELSPAAR,1,IF,61,N,1,1,MVI,,C,0.0,0.0,M,2001,8,F,39.17,1962,5,0.0,,,,,,N,F,SCHAKELSPAAR,F,255.0,0,0,0.0,0.0,,,
608337870,SPAARKAS,SCHAKELSPAAR,1,IF,62,N,1,1,ASB,,C,0.0,0.0,M,1998,5,F,33.17,1965,2,0.0,,,,,,N,F,SCHAKELSPAAR,F,324.0,0,0,0.0,0.0,,,
608496490,SPAARKAS,SCHAKELSPAAR,1,IF,63,N,1,1,MVI,,C,0.0,0.0,M,2001,8,F,27.75,1973,10,0.0,,,,,,N,F,SCHAKELSPAAR,F,338.0,0,0,0.0,0.0,,,
608497390,SPAARKAS,SCHAKELSPAAR,1,IF,64,Y,1,1,ASB,,C,0.0,0.0,M,2001,8,F,33.5,1968,1,0.0,,,,,,N,F,SCHAKELSPAAR,F,293.0,0,0,0.0,0.0,,,
