POSTID,KEYFIELD,PRODUCT,GROUP,KSTVLGNR,KSTCD,KSTTOTBD,KSTVBGJR,KSTVBGMD,CHGPERIOD
614170480,614170480,CHARGE,chg,1,1,30.00,2004,2,120.00
614170520,614170520,CHARGE,chg,1,1,38.40,2004,3,120.00
614170580,614170580,CHARGE,chg,1,1,73.44,2004,4,120.00
614170620,614170620,CHARGE,chg,1,1,56.28,2004,5,120.00
614170630,614170630,CHARGE,chg,1,1,88.08,2004,5,120.00
614170680,614170680,CHARGE,chg,1,1,44.40,2004,6,120.00
614170790,614170790,CHARGE,chg,1,1,236.64,2004,7,120.00
614170860,614170860,CHARGE,chg,1,1,10.08,2020,12,43.00
614170860,614170860,CHARGE,chg,2,1,6.12,2019,12,55.00
614170940,614170940,CHARGE,chg,1,1,48.96,2004,10,120.00
614170970,614170970,CHARGE,chg,1,1,68.64,2004,11,120.00
614170990,614170990,CHARGE,chg,1,1,51.48,2004,11,120.00
614171160,614171160,CHARGE,chg,1,1,144.00,2005,3,120.00
614171230,614171230,CHARGE,chg,1,1,24.00,2005,5,120.00
614171250,614171250,CHARGE,chg,1,1,68.64,2005,6,120.00
614171270,614171270,CHARGE,chg,1,1,85.68,2005,11,120.00
614184220,614184220,CHARGE,chg,1,1,0.12,2012,8,120.00
614184730,614184730,CHARGE,chg,1,1,1.56,2004,2,120.00
614184730,614184730,CHARGE,chg,2,1,1.20,2005,1,120.00
614198080,614198080,CHARGE,chg,1,1,21.96,2007,7,120.00
614198350,614198350,CHARGE,chg,1,1,20.88,2006,12,120.00
614199590,614199590,CHARGE,chg,1,1,3.36,2006,12,120.00
614202580,614202580,CHARGE,chg,1,1,3.72,2004,3,120.00
614203140,614203140,CHARGE,chg,1,1,0.48,2004,6,120.00
614203140,614203140,CHARGE,chg,2,1,1.44,2005,4,120.00
614203140,614203140,CHARGE,chg,3,1,4.32,2006,4,120.00
614203140,614203140,CHARGE,chg,4,1,1.92,2006,11,120.00
614203140,614203140,CHARGE,chg,5,1,4.92,2007,3,120.00
614203140,614203140,CHARGE,chg,6,1,3.96,2008,2,120.00
614203140,614203140,CHARGE,chg,7,1,1.44,2010,1,120.00
614203140,614203140,CHARGE,chg,8,1,1.44,2011,11,120.00
614203880,614203880,CHARGE,chg,1,1,0.84,2007,10,120.00
614203930,614203930,CHARGE,chg,1,1,201.72,2004,4,120.00
614203930,614203930,CHARGE,chg,2,1,3.60,2007,8,120.00
614206650,614206650,CHARGE,chg,1,1,54.48,2004,7,120.00
614206750,614206750,CHARGE,chg,1,1,1.80,2007,7,120.00
614207760,614207760,CHARGE,chg,1,1,7.20,2008,3,120.00
614208310,614208310,CHARGE,chg,1,1,78.84,2006,7,120.00
614208510,614208510,CHARGE,chg,1,1,2.04,2010,2,120.00
614209000,614209000,CHARGE,chg,1,1,34.68,2004,10,120.00
614210990,614210990,CHARGE,chg,1,1,2.88,2005,12,120.00
614211450,614211450,CHARGE,chg,1,1,16.56,2005,4,120.00
614211450,614211450,CHARGE,chg,2,1,81.00,2005,12,120.00
614211450,614211450,CHARGE,chg,3,1,10.44,2006,12,120.00
614212450,614212450,CHARGE,chg,1,1,1.44,2004,2,120.00
614213730,614213730,CHARGE,chg,1,1,0.24,2007,3,120.00
614214960,614214960,CHARGE,chg,1,1,37.32,2006,2,120.00
614215260,614215260,CHARGE,chg,1,1,2.40,2004,6,120.00
614216100,614216100,CHARGE,chg,1,1,0.12,2006,7,120.00
614216530,614216530,CHARGE,chg,1,1,3.00,2004,3,120.00
614217690,614217690,CHARGE,chg,1,1,29.52,2006,6,120.00
614217690,614217690,CHARGE,chg,2,1,2.28,2008,1,120.00
614217860,614217860,CHARGE,chg,1,1,0.12,2004,6,120.00
