POSTID,KEYFIELD,PRODUCT,GROUP,FONDSCD,UNITAANT,GARKAP,BELEGPRC,PRODBOOMCD,TARCD,UNITSAVPRT,UNITSRV_PP,UNITEXT_BP
613460390,613460390,FUND,F,1,87.5956,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,86.7969,0.7987,0.0000
613460440,613460440,FUND,F,3,133.0557,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,131.6937,1.3620,0.0000
613460460,613460460,FUND,F,1,516.9381,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,512.3950,4.5431,0.0000
613460490,613460490,FUND,F,1,93.2722,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,90.7565,2.5157,0.0000
613460500,613460500,FUND,F,1,20.2636,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,19.5757,0.6879,0.0000
613460510,613460510,FUND,F,1,482.2928,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,472.3058,9.9870,0.0000
613460520,613460520,FUND,F,1,610.7433,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,605.6364,5.1069,0.0000
613460530,613460530,FUND,F,3,852.7961,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,825.9879,26.8082,0.0000
613460540,613460540,FUND,F,1,3.1580,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,3.0489,0.1091,0.0000
613460550,613460550,FUND,F,1,708.3415,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,698.1162,10.2253,0.0000
613460590,613460590,FUND,F,1,29.6276,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,29.1912,0.4364,0.0000
613460600,613460600,FUND,F,1,196.6695,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,194.0964,2.5731,0.0000
613460630,613460630,FUND,F,1,869.1819,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,857.3262,11.8557,0.0000
613460660,613460660,FUND,F,3,147.7866,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,141.3683,6.4183,0.0000
613460680,613460680,FUND,F,1,246.1995,0.00,100.000000,KOERSPLAN,KOERSPLAN,244.1943,2.0052,0.0000
613460750,613460750,FUND,F,1,497.5353,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,491.3535,6.1818,0.0000
613460760,613460760,FUND,F,1,213.4370,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,209.9907,3.4463,0.0000
613460780,613460780,FUND,F,1,31.0532,0.00,100.000000,KOERSPLAN,KOERSPLAN,30.0206,1.0326,0.0000
613460790,613460790,FUND,F,1,386.9277,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,376.6661,10.2616,0.0000
613460800,613460800,FUND,F,1,516.3835,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,508.4025,7.9810,0.0000
613460810,613460810,FUND,F,1,46.7977,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,45.2654,1.5323,0.0000
613460820,613460820,FUND,F,3,138.2304,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,131.8529,6.3775,0.0000
613460860,613460860,FUND,F,1,84.5246,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,83.3830,1.1416,0.0000
613460870,613460870,FUND,F,1,48.6123,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,48.1480,0.4643,0.0000
613460900,613460900,FUND,F,1,200.9836,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,188.9178,12.0658,0.0000
613460910,613460910,FUND,F,1,320.1083,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,295.0987,25.0096,0.0000
613460930,613460930,FUND,F,1,30.3469,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,29.5039,0.8430,0.0000
613460940,613460940,FUND,F,1,19.0943,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,18.3553,0.7390,0.0000
613460960,613460960,FUND,F,1,570.6067,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,552.2006,18.4061,0.0000
613460970,613460970,FUND,F,1,500.6417,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,452.4454,48.1963,0.0000
613460980,613460980,FUND,F,1,239.2313,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,230.9313,8.3000,0.0000
613461040,613461040,FUND,F,3,594.8427,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,577.5021,17.3406,0.0000
613461050,613461050,FUND,F,1,521.1727,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,511.9682,9.2045,0.0000
613461080,613461080,FUND,F,1,375.2314,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,366.2153,9.0161,0.0000
613461090,613461090,FUND,F,1,387.4219,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,381.6492,5.7727,0.0000
613461100,613461100,FUND,F,1,168.1708,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,166.3479,1.8229,0.0000
613461110,613461110,FUND,F,1,74.2128,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,73.0565,1.1563,0.0000
613461120,613461120,FUND,F,1,65.7374,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,62.2795,3.4579,0.0000
